	1	2	3	4	5	6	7	8	9
1367452_at	9.60913448072222	9.74279937237028	9.57006303819532	9.24940946960379	9.95600290542725	9.52621413171858	9.5402633937986	9.89898630322381	9.6845035772068
1367453_at	9.62056286532864	9.33758578433891	9.49125950455763	9.4616815419576	9.09864101464681	9.17566622510656	9.67491982023675	9.12391159846533	9.35425818836476
1367454_at	9.39394678002658	9.47893043165864	9.5633902489237	9.34812859132262	9.49708034950598	9.29777806489591	9.31567053142632	9.65667809269166	9.5738311930108
1367455_at	10.1481353759275	10.1115536419856	10.0950186295545	9.89938114945599	10.0694561906483	10.0950186295545	10.262131966399	9.98055294689197	10.3003302293932
1367456_at	10.2595069543133	10.7686128299132	10.4687466877827	9.96500838013619	10.6565495859577	10.3642014161857	10.235812723606	10.7344307456089	10.5636326815398
1367457_at	8.72207656619992	9.15398852972311	8.82987363594178	8.60194818619353	9.07666128311101	8.838609630427	8.72374981272518	9.45990381658117	9.02769880468884
1367458_at	8.52227939693572	8.09098944992058	8.2112274551106	8.34539575839855	8.19222323178457	8.15915686527463	8.29869108745808	7.96471838402316	7.90638456804074
1367459_at	11.1524419466078	11.1647943856895	11.24242107889	11.0099754689318	11.3320542306466	11.185293358275	11.219222827491	11.185293358275	11.1282378824101
1367460_at	10.0337085859693	10.4322952442249	10.2313773483514	10.1335402241716	10.3786930629889	10.0021249654201	10.4009620725624	10.8141003633484	10.5605091228042
1367461_at	8.58129224387714	9.00364570753934	8.73785427457678	8.289973461578	9.0274518754804	8.67446079881882	8.52539799726517	9.00251546341842	8.66231031297202
1367462_at	9.49561743847802	9.58445860974122	9.51278098009763	9.36713275488837	9.33054674755963	9.36481178565575	9.66764100605189	9.40010329178818	9.70959782358556
1367463_at	10.2055812852049	10.1392627565081	10.2284079241935	10.1264347875196	10.2142857180624	10.2166555655101	10.2060010538535	10.303864060388	10.3954846732897
1367464_at	7.64040538580632	7.64040538580632	7.52283866887509	6.96631210242365	7.68749962456185	7.41004356201964	7.63516532195933	7.90526063642371	7.78506602318939
1367465_at	8.77430709997322	8.981757260487	8.90027708034919	8.67673455999269	8.90027708034919	8.87136967835864	8.90027708034919	9.20252444120924	8.96733466271584
1367466_at	9.55865732338029	9.5709697601838	9.55865732338029	9.43403513684513	9.62464377664398	9.61623931529236	9.44340336983595	9.70726025985401	9.79410613300477
1367467_at	9.78122469109648	10.1966278048014	10.0116383833067	9.71755818960983	10.1723340236671	9.88545647617144	10.027591079881	10.273207538163	10.1351207868711
1367468_at	8.04184295229033	7.50446386467487	7.79070561467388	7.842513076957	7.09282158332396	7.81604809213201	8.27708708113198	7.40873075356711	7.81604809213201
1367469_at	10.5235906612311	10.846942849741	10.7018106808	10.1291682471499	11.0021800103443	10.532288356441	10.6277496151801	10.8927479537004	10.6705374131931
1367470_at	9.90991272871456	10.1113713185974	9.98067882797498	9.70677604584692	10.2316528092434	9.83230958446835	9.90898205125219	10.1969925634977	10.0973260829267
1367471_at	8.71313229535917	8.59167807807957	8.71313229535917	8.64257660185391	8.80782347869929	8.73478975835235	8.71313229535917	8.81130396875307	8.9889055417824
1367472_at	9.8502520373935	10.0292579347429	9.78799039054091	9.80466656289025	9.76560553409635	9.79593830903016	9.89239453757336	9.86700360522972	10.2222640635056
1367473_at	8.90803303118753	8.98297816763623	8.89132547776278	8.92094310489849	8.92094310489849	8.78301643662713	8.92094310489849	9.10368896359301	8.99447424582942
1367474_at	7.94543367559405	7.94543367559405	7.73906138907617	7.71114369844592	8.00963970904753	7.68764572271199	7.94543367559405	8.17317255048536	8.36140193223615
1367475_at	9.62527949631334	10.0001009059107	9.92820323198663	9.63663542536991	10.157919595344	9.93605907659636	9.91602219944495	10.2031375799522	10.15516064204
1367476_at	9.08021199245475	9.6500716282243	9.36395445187113	8.90134851714127	9.58243818007923	8.97509372372558	9.33581085331493	9.75454670844747	9.56932491435721
1367477_at	9.69331929139612	9.7439619344105	9.77979945726478	9.58846759593911	9.61933894065721	9.76551853002634	9.68928221502129	9.7754341952134	9.85105222552193
1367478_at	7.87306053833902	8.07193341067028	8.000146751276	7.91835968810476	8.06101672026066	7.84025535328796	8.000146751276	8.10458634838208	7.98550308497738
1367479_at	9.97050288882363	10.235093907774	9.97050288882363	9.60897026716014	10.1826319194885	9.86145980083642	9.86676108478227	10.1921279781712	10.0414007603733
1367480_at	9.44892226846716	9.61962583662903	9.61962583662903	9.39212447733323	9.63230864758813	9.65097691254645	9.48906481916911	9.74429515424933	9.66709958712148
1367481_at	8.15312096042449	8.37145449737982	8.37145449737982	8.11982749952145	8.41382066189243	8.16884143508921	8.45615752722666	8.34557292449154	8.43128668829422
1367482_at	8.66355192757059	8.54878417491578	8.52040872793731	8.38665897421908	8.54209339618385	8.43094633273596	8.63093467946495	8.49321366631407	8.48668552012008
1367483_at	7.83458265241666	8.15199428809638	8.06977474191756	7.55011340072194	8.03743336745111	7.81916351819059	7.8871510570798	7.73908604733391	7.726897528735
1367484_at	7.87154705124489	8.71806636411945	8.14139780171488	7.58318200709926	8.61721857503084	7.87493653506069	8.02592969005228	8.98560930409818	8.38725074086924
1367485_at	8.71408687941011	9.08747070129097	8.69935435064012	8.38880406838365	8.74003090961365	8.59585556496454	8.80453981683203	9.17032412951889	8.71408687941011
1367486_at	9.17766412943548	8.79211099007184	8.90792524760823	8.93316097476993	8.75873075514337	8.97065794766274	9.12351341770479	8.76820706848536	9.04575017507626
1367487_at	8.80685627298654	8.54578560278806	8.645953794872	8.47303452532773	8.66259228141836	8.76282623889614	8.68764462184264	8.50231662183434	8.65108533586132
1367488_at	7.07401286229688	7.24205832664535	7.20263755474418	6.53194146116784	7.59336374439205	6.9659275005958	7.20263755474418	7.42401863118035	7.31679100631322
1367489_at	7.18619602517684	7.18619602517684	7.09115651921409	7.24094200553303	6.93820069834703	7.10290271336355	7.18619602517684	7.0485507919663	7.210631961475
1367490_at	8.14499938922689	8.19248323077039	8.15050911312617	8.07689937915083	8.3183812526237	8.1646188402406	8.05695940721535	8.32232048811663	8.01430934642813
1367491_at	8.46048774842378	8.55907810925178	8.65893248747492	8.31020587270314	8.5632893374122	8.71666542102794	8.38782653435248	8.7726570829504	8.62111605086679
1367492_at	8.28556676716825	8.22105888231016	8.40101429746337	8.32378461630786	8.40101429746337	8.29256403143784	8.40101429746337	8.58503946550392	8.59940872922168
1367493_at	9.12158961698815	9.12043631072436	9.11634099474377	8.92211962150647	9.1867086296949	8.98139756287264	9.09868509933952	9.11634099474377	9.28561057238636
1367494_at	9.53090242448723	9.56368991884486	9.72175657317667	9.51425524148544	9.55781275267656	9.68733376103982	9.56817103466931	9.72689670236153	9.91803241765018
1367495_at	7.53615266483142	7.84784687920599	7.7706395721879	7.30342607311651	7.97710615471395	7.28898273530567	7.53018564408529	8.13227289428682	8.00658796189058
1367496_at	9.82703996065195	10.3109995315189	10.10190775363	9.69199496181498	10.2971686622321	10.1219413132055	9.91441434663387	10.6772776617695	10.2401295327332
1367497_at	9.18964184308631	9.46191958499148	9.29345566868058	8.88653808123719	9.45265220661719	9.43128163564999	9.23637365446021	9.55688443993533	9.37151909971055
1367498_at	8.76940160115363	8.91158508489599	9.00655497618835	8.52408113346116	8.98414297448168	8.89712382782899	8.74579918798067	9.33186175540013	8.97828825736789
1367499_at	8.28755046819366	8.3381351031518	8.07444832116326	8.0488721430392	8.18865578044483	8.12593356754645	8.18865578044483	8.18865578044483	8.22642045073915
1367500_at	9.64621554559147	9.8046959013508	9.58344912374713	9.38743922432394	9.66079793184607	9.50683742793929	9.64621554559147	9.90336042279735	9.66949777419814
1367501_at	7.8565392913974	8.01448527973353	7.83213679368146	7.69293277432018	8.07043039661422	8.06327349577584	7.86637527099677	8.3383785698871	8.2153659058427
1367502_at	7.78340655312242	8.17184489006665	7.86829741447947	7.68776213806041	8.01483792374919	7.90433983145297	7.85354395077831	8.14113150315616	8.03738489162656
1367503_at	10.0407929262314	9.78383500310339	9.86719024197468	9.84025911454068	9.93630820385185	9.82238415697609	9.84152667474316	9.8915845001578	9.93418348773865
1367504_at	7.43602198663341	7.35577263634447	7.40190846201428	7.26136425584556	7.25487020371377	7.505972182553	7.47691599652029	7.48586615715805	7.32042643288379
1367505_at	7.2337120991892	7.29463022589488	7.6112845439857	7.27111658623034	7.34215989867865	7.38849311778444	7.49903490972991	7.44182816690902	7.8176822139168
1367506_at	9.13285223833866	9.19217383734876	9.20073676486596	8.99241420030833	9.21138129947714	9.13285223833866	9.09618198160275	9.38520007581501	9.41790426825188
1367507_at	6.9370762742754	7.00398113863498	7.0453331414612	7.0453331414612	7.15347492201677	7.12642053304686	7.02880470918838	7.0453331414612	7.08976253188653
1367508_at	7.57213226076537	7.98503298089646	7.51146490601811	7.11652308887289	7.77484881808691	7.38745900822002	7.5566077395286	7.86415168825778	7.72100518026751
1367509_at	8.58458839846901	8.95633777161797	8.80367592541207	8.63528859304967	8.78648178655423	8.58832111628807	8.78648178655423	9.18282133241924	9.05563926113324
1367510_at	8.67155806806796	9.142324608788	8.89326748329875	8.36967377310961	9.01819289662265	8.798368541775	8.84402495389292	9.2918829477902	9.01448567399635
1367511_at	7.95983819455657	8.03543108259358	7.97459583174068	7.92729261615974	7.84770388173043	8.03543108259358	8.17685706540671	8.05486797322032	8.14493258105623
1367512_at	10.0245678438427	10.5070099038908	10.1675274764145	9.87654006292035	10.3336951628927	9.97056820249325	10.1360593683457	10.4676688192798	10.270448942499
1367513_at	7.49601159590603	7.39897259416286	7.66920386574803	7.60745034422014	7.54610942583419	7.80043118868416	7.61222834597584	7.77531287828732	7.89136489133785
1367514_at	7.58177337456614	7.58177337456614	7.64899028132469	7.45313295006174	7.75480132405256	7.70475735302198	7.58177337456614	7.47141885608973	7.45595251966263
